ww = 1, tt = 34.234, costA = 855.735, costB = 1848.64
ww = 2, tt = 24.5, costA = 605.096, costB = 2646
ww = 3, tt = 20.1877, costA = 494.059, costB = 3270.4
ww = 4, tt = 17.617, costA = 427.867, costB = 3805.27
ww = 5, tt = 15.8627, costA = 382.696, costB = 4282.93
ww = 6, tt = 14.5677, costA = 349.352, costB = 4719.94
ww = 7, tt = 13.5613, costA = 323.437, costB = 5126.16
ww = 8, tt = 12.75, costA = 302.548, costB = 5508
ww = 9, tt = 12.078, costA = 285.245, costB = 5869.91
ww = 10, tt = 11.5095, costA = 270.607, costB = 6215.14
ww = 11, tt = 11.0204, costA = 258.014, costB = 6546.14
ww = 12, tt = 10.5938, costA = 247.029, costB = 6864.8
ww = 13, tt = 10.2175, costA = 237.338, costB = 7172.66
ww = 14, tt = 9.88217, costA = 228.705, costB = 7470.92
ww = 15, tt = 9.58099, costA = 220.95, costB = 7760.6
ww = 16, tt = 9.3085, costA = 213.934, costB = 8042.55
ww = 17, tt = 9.06043, costA = 207.546, costB = 8317.48
ww = 18, tt = 8.83333, costA = 201.699, costB = 8586
ww = 19, tt = 8.62441, costA = 196.319, costB = 8848.64
ww = 20, tt = 8.43135, costA = 191.348, costB = 9105.86
ww = 21, tt = 8.25226, costA = 186.737, costB = 9358.06
ww = 22, tt = 8.08552, costA = 182.443, costB = 9605.59
ww = 23, tt = 7.92977, costA = 178.433, costB = 9848.78
ww = 24, tt = 7.78387, costA = 174.676, costB = 10087.9
ww = 25, tt = 7.6468, costA = 171.147, costB = 10323.2
ww = 26, tt = 7.51773, costA = 167.823, costB = 10554.9
ww = 27, tt = 8.39589, costA = 178.728, costB = 12241.2
ww = 28, tt = 8.28064, costA = 214.946, costB = 12520.3
ww = 29, tt = 8.1714, costA = 249.274, costB = 12796.4
ww = 30, tt = 8.06767, costA = 281.871, costB = 13069.6
ww = 31, tt = 7.96901, costA = 312.877, costB = 13340.1
ww = 32, tt = 7.875, costA = 342.419, costB = 13608
ww = 33, tt = 7.7853, costA = 370.607, costB = 13873.4
ww = 34, tt = 7.69959, costA = 397.542, costB = 14136.4
ww = 35, tt = 7.61757, costA = 423.315, costB = 14397.2
ww = 36, tt = 7.539, costA = 448.006, costB = 14655.8
ww = 37, tt = 7.46364, costA = 471.689, costB = 14912.4
ww = 38, tt = 7.39127, costA = 494.432, costB = 15166.9
ww = 39, tt = 7.3217, costA = 516.293, costB = 15419.5
ww = 40, tt = 7.25476, costA = 537.33, costB = 15670.3
ww = 41, tt = 7.19028, costA = 557.592, costB = 15919.3
ww = 42, tt = 7.12812, costA = 577.127, costB = 16166.6
ww = 43, tt = 7.06814, costA = 595.975, costB = 16412.2
ww = 44, tt = 7.01022, costA = 614.178, costB = 16656.3
ww = 45, tt = 6.95424, costA = 631.77, costB = 16898.8
ww = 46, tt = 6.90009, costA = 648.786, costB = 17139.8
ww = 47, tt = 6.84768, costA = 665.255, costB = 17379.4
ww = 48, tt = 6.79692, costA = 681.208, costB = 17617.6
ww = 49, tt = 6.74772, costA = 696.669, costB = 17854.5
ww = 50, tt = 6.7, costA = 711.664, costB = 18090
ww = 51, tt = 6.65369, costA = 726.216, costB = 18324.3
ww = 52, tt = 6.60873, costA = 740.346, costB = 18557.3
ww = 53, tt = 6.56504, costA = 754.074, costB = 18789.2
ww = 54, tt = 6.52258, costA = 767.419, costB = 19019.8
ww = 55, tt = 6.48127, costA = 780.399, costB = 19249.4
ww = 56, tt = 6.44108, costA = 793.029, costB = 19477.8
ww = 57, tt = 6.40195, costA = 805.326, costB = 19705.2
ww = 58, tt = 6.36384, costA = 817.303, costB = 19931.5
ww = 59, tt = 6.3267, costA = 828.974, costB = 20156.9
ww = 60, tt = 6.29049, costA = 840.352, costB = 20381.2
ww = 61, tt = 6.25518, costA = 851.449, costB = 20604.6
ww = 62, tt = 6.22072, costA = 862.277, costB = 20827
ww = 63, tt = 6.18709, costA = 872.846, costB = 21048.5
ww = 64, tt = 6.15425, costA = 883.166, costB = 21269.1
ww = 65, tt = 6.12217, costA = 893.247, costB = 21488.8
ww = 66, tt = 6.09082, costA = 903.098, costB = 21707.7
ww = 67, tt = 6.06018, costA = 912.728, costB = 21925.7
ww = 68, tt = 6.03022, costA = 922.144, costB = 22143
ww = 69, tt = 6.00091, costA = 931.355, costB = 22359.4
ww = 70, tt = 5.97222, costA = 940.368, costB = 22575
ww = 71, tt = 5.94415, costA = 949.19, costB = 22789.9
ww = 72, tt = 5.91667, costA = 957.827, costB = 23004
ww = 73, tt = 5.88975, costA = 966.287, costB = 23217.4
ww = 74, tt = 5.86338, costA = 974.574, costB = 23430.1
ww = 75, tt = 5.83753, costA = 982.695, costB = 23642
ww = 76, tt = 5.8122, costA = 990.655, costB = 23853.3
ww = 77, tt = 5.78737, costA = 998.46, costB = 24063.9
ww = 78, tt = 5.76301, costA = 1006.11, costB = 24273.8
ww = 79, tt = 5.73912, costA = 1013.62, costB = 24483.1
ww = 80, tt = 5.71568, costA = 1020.99, costB = 24691.7
ww = 81, tt = 5.69267, costA = 1028.22, costB = 24899.7
ww = 82, tt = 5.67008, costA = 1035.32, costB = 25107.1
ww = 83, tt = 5.64791, costA = 1042.29, costB = 25313.9
ww = 84, tt = 5.62613, costA = 1049.13, costB = 25520.1
ww = 85, tt = 5.60474, costA = 1055.85, costB = 25725.7
ww = 86, tt = 5.58372, costA = 1062.46, costB = 25930.8
ww = 87, tt = 5.56306, costA = 1068.95, costB = 26135.3
ww = 88, tt = 5.54276, costA = 1075.33, costB = 26339.2
ww = 89, tt = 5.5228, costA = 1081.6, costB = 26542.6
ww = 90, tt = 5.50317, costA = 1087.77, costB = 26745.4
ww = 91, tt = 5.48387, costA = 1093.83, costB = 26947.7
ww = 92, tt = 5.46489, costA = 1099.8, costB = 27149.6
ww = 93, tt = 5.44621, costA = 1105.67, costB = 27350.9
ww = 94, tt = 5.42783, costA = 1111.45, costB = 27551.7
ww = 95, tt = 5.40974, costA = 1117.13, costB = 27752
ww = 96, tt = 5.39193, costA = 1122.73, costB = 27951.8
ww = 97, tt = 5.3744, costA = 1128.23, costB = 28151.1
ww = 98, tt = 5.35714, costA = 1133.66, costB = 28350
ww = 99, tt = 5.34014, costA = 1139, costB = 28548.4
ww = 100, tt = 5.3234, costA = 1144.26, costB = 28746.4
