seed	r	mw	n	co	sa	sna	score
1	19	35	47	85	54	9752	7468952
2	14	8	22	24	50	7509	1638256
3	13	33	30	83	29	12426	4265468
4	16	23	39	79	83	12213	7202233
5	19	6	22	36	59	5139	1738712
6	15	32	37	65	36	14471	4482410
7	15	14	23	46	54	10470	2830398
8	13	27	41	69	30	5758	2957820
9	21	20	37	83	74	8396	5919195
10	15	43	45	84	41	13858	7090102
11	18	33	45	66	46	11574	5949476
12	29	24	48	80	86	7324	6315102
13	11	19	26	43	43	18246	3768047
14	10	35	22	48	22	38761	4254392
15	19	6	30	15	76	7755	1689707
16	21	11	33	45	65	5545	2883475
17	14	54	46	91	15	7568	3042141
18	57	3	45	15	50	516	438495
19	14	52	33	90	10	5926	1537160
20	7	11	20	47	93	22376	5894810
21	15	25	45	82	92	10143	8552620
22	12	26	36	51	54	17186	5409555
23	20	48	32	89	35	17752	6083398
24	17	26	21	98	46	21360	6620426
25	17	30	41	66	69	17213	7747248
26	19	7	25	17	66	10259	2068793
27	13	19	30	90	93	11189	6344607
28	13	27	38	64	50	6118	4019146
29	15	100	49	98	17	19337	6243857
30	19	10	48	25	52	3648	1955772
31	9	9	20	57	89	11178	5098432
32	14	32	32	20	10	15156	1419410
33	13	12	30	49	70	8035	4203885
34	21	17	20	81	22	7072	1792931
35	16	17	29	69	96	16055	6550344
36	55	22	49	64	92	8861	6423284
37	14	10	24	69	56	3997	2599551
38	11	52	37	95	38	25662	9149260
39	10	21	23	84	48	15845	5167860
40	14	31	48	68	62	11841	6673152
41	18	13	31	70	83	7274	4138989
42	17	15	36	33	34	5905	1704947
43	16	10	26	73	71	4262	2959935
44	18	11	39	46	73	4482	2870211
45	14	30	32	70	39	15211	4970003
46	15	28	46	15	34	17655	3031464
47	18	26	27	76	14	4741	1421304
48	13	32	43	63	92	25197	12327462
49	12	11	29	24	51	12042	3161943
50	12	25	31	85	44	7992	3947871
51	15	42	38	70	46	21823	6969810
52	15	20	36	85	84	10653	6782880
53	13	46	44	79	84	37321	17012822
54	16	11	32	41	79	6950	3317513
55	31	8	31	24	43	3590	1143131
