seed	mw	n	co	sa	sun	sna	blk	score
1	29	47	85	54	1321	9752	11	7951014
2	7	22	24	50	1329	7509	9	1590868
3	34	30	83	29	1288	12426	14	4488034
4	23	39	79	83	1496	12213	19	7541983
5	7	22	36	59	1454	5139	8	1669710
6	32	37	65	36	851	14471	7	4891430
7	14	23	46	54	914	10470	7	2835932
8	25	41	69	30	1435	5758	8	3186258
9	17	37	83	74	1258	8396	9	6045965
10	37	45	84	41	1402	13858	15	7693712
11	35	45	66	46	1202	11574	11	6737554
12	20	48	80	86	1465	7324	11	6390156
13	20	26	43	43	1098	18246	12	3885652
14	51	22	48	22	733	38761	19	4218840
15	6	30	15	76	1503	7755	12	1775265
16	11	33	45	65	1645	5545	13	3008560
17	52	46	91	15	958	7568	5	3195149
18	2	45	15	50	1964	516	14	397910
19	34	33	90	10	1076	5926	4	1412690
20	13	20	47	93	859	22376	13	5603116
21	22	45	82	92	1013	10143	7	9742258
22	27	36	51	54	931	17186	11	5798013
23	42	32	89	35	1089	17752	15	6121167
24	35	21	98	46	910	21360	14	5993932
25	35	41	66	69	861	17213	10	8483895
26	7	25	17	66	1290	10259	11	1933041
27	18	30	90	93	1057	11189	8	6467766
28	18	38	64	50	1430	6118	9	3819354
29	78	49	98	17	1101	19337	15	6744069
30	11	48	25	52	1610	3648	7	2138429
31	14	20	57	89	1252	11178	12	4549996
32	33	32	20	10	1193	15156	14	1514660
33	12	30	49	70	1653	8035	19	4272989
34	20	20	81	22	1427	7072	10	1835803
35	14	29	69	96	1279	16055	16	6801831
36	16	49	64	92	1572	8861	17	6057472
37	9	24	69	56	1776	3997	16	2637393
38	58	37	95	38	887	25662	14	9956133
39	26	23	84	48	1345	15845	19	5285532
40	23	48	68	62	804	11841	7	7207216
41	12	31	70	83	1357	7274	9	4128841
42	14	36	33	34	686	5905	2	1832353
43	12	26	73	71	1614	4262	10	3155941
44	10	39	46	73	1649	4482	11	3107008
45	29	32	70	39	1165	15211	14	5134393
46	24	46	15	34	1092	17655	14	3479983
47	21	27	76	14	1667	4741	11	1402570
48	28	43	63	92	769	25197	12	13245985
49	15	29	24	51	1338	12042	15	3147702
50	20	31	85	44	1306	7992	9	4022569
51	38	38	70	46	780	21823	11	7717980
52	22	36	85	84	1367	10653	14	6954003
53	49	44	79	84	882	37321	23	18724769
54	10	32	41	79	1474	6950	10	3254795
55	5	31	24	43	1640	3590	9	1006394
56	18	36	42	65	1195	13202	11	4511491
57	29	40	87	85	837	26182	15	13415328
58	13	22	19	22	1315	7918	9	1028872
59	3	25	32	83	1647	1459	3	1022906
60	19	42	13	62	974	21115	15	4425560
61	5	40	14	39	1571	2341	4	897307
62	32	34	22	16	961	17391	12	2151180
63	41	50	71	92	1162	21058	18	15086051
64	44	48	75	67	897	18942	11	12354786
65	42	46	51	52	921	24975	15	8989099
66	30	38	89	44	1184	12974	12	6056931
67	77	49	98	69	756	34573	18	20001216
